SUBJECT_ID,SUBJECT_GROUP,CONDITION,OUTCOME,VIDEO_NAME,ACCURACY,SUBJECT_RESPONSE,RESPONSE_TIME
101,1,1,1,Wang2021_add_00000485,1.0,1,1344.0
101,1,1,2,Wang2021_00011227,1.0,2,1157.0
101,1,1,2,Wang2021_00006553,0.0,1,1182.0
101,1,1,1,Wang2021_00006064,1.0,1,1206.0
101,1,1,1,Wang2021_add_00000688,0.0,2,1211.0
101,1,1,2,Wang2021_00012631,1.0,2,1094.0
101,1,1,1,Wang2021_00002107,0.0,2,1225.0
101,1,1,1,Wang2021_00008743,1.0,1,1367.0
101,1,1,1,Wang2021_00000548,0.0,2,1197.0
101,1,1,2,Wang2021_00015599,1.0,2,1137.0
101,1,1,2,Wang2021_00017741,1.0,2,1036.0
101,1,1,1,Wang2021_00014488,1.0,1,1095.0
101,1,1,2,Wang2021_00005109,1.0,2,1062.0
101,1,1,2,Wang2021_00021880,1.0,2,1105.0
101,1,1,1,Wang2021_00017043,1.0,1,1582.0
101,1,1,2,Wang2021_00006683,1.0,2,1114.0
101,1,1,1,Wang2021_00005703,1.0,1,1130.0
101,1,1,1,Wang2021_00010289,1.0,1,1091.0
101,1,1,1,Wang2021_00024665,1.0,1,1080.0
101,1,1,1,Wang2021_00003869,1.0,1,1327.0
101,1,1,2,Wang2021_add_00003311,1.0,2,1079.0
101,1,1,1,Wang2021_add_00000910,1.0,1,1275.0
101,1,1,2,Wang2021_00009519,1.0,2,1188.0
101,1,1,1,Wang2021_00019684,1.0,1,1345.0
101,1,1,1,Wang2021_00020638,1.0,1,1394.0
101,1,1,2,Wang2021_00017374,1.0,2,1110.0
101,1,1,1,Wang2021_00018211,1.0,1,1117.0
101,1,1,2,Wang2021_add_00001524,1.0,2,1019.0
101,1,1,2,Wang2021_00009912,1.0,2,1075.0
101,1,1,1,Wang2021_00007547,1.0,1,1193.0
101,1,1,2,Wang2021_00013792,1.0,2,1045.0
101,1,1,1,Wang2021_00008867,0.0,2,1404.0
101,1,1,1,Wang2021_00013447,0.0,2,1391.0
101,1,1,2,Wang2021_00011456,1.0,2,1056.0
101,1,1,2,Wang2021_00000669,1.0,2,1244.0
101,1,1,2,Wang2021_00005246,1.0,2,1050.0
101,1,1,2,Wang2021_00012518,1.0,2,1096.0
101,1,1,1,Wang2021_00007669,0.0,2,1123.0
101,1,1,2,Wang2021_00015351,1.0,2,1155.0
101,1,1,2,Wang2021_00020290,1.0,2,1030.0
101,1,1,1,Wang2021_00004498,1.0,1,1206.0
101,1,1,1,Wang2021_00013084,1.0,1,1080.0
101,1,1,2,Wang2021_00003197,1.0,2,1144.0
101,1,1,1,Wang2021_add_00000204,1.0,1,1407.0
101,1,1,2,Wang2021_00009366,1.0,2,1189.0
101,1,1,1,Wang2021_00025224,0.0,2,1264.0
101,1,1,2,Wang2021_00001354,1.0,2,1135.0
101,1,1,2,Wang2021_00024319,1.0,2,1178.0
101,1,1,1,Wang2021_00005570,1.0,1,1387.0
101,1,1,1,Wang2021_00023492,1.0,1,1377.0
101,1,1,1,Wang2021_00022600,1.0,1,1244.0
101,1,1,2,Wang2021_00021636,1.0,2,1156.0
101,1,1,1,Wang2021_add_00000365,1.0,1,1250.0
101,1,1,2,Wang2021_00020148,1.0,2,1153.0
101,1,1,2,Wang2021_00025671,0.0,1,1364.0
101,1,1,1,Wang2021_add_00000143,1.0,1,1296.0
101,1,1,2,Wang2021_00022954,1.0,2,1117.0
101,1,1,1,Wang2021_00010647,1.0,1,1242.0
101,1,1,2,Wang2021_add_00002156,1.0,2,1067.0
101,1,1,1,Wang2021_00025002,1.0,1,1121.0
101,1,1,2,Wang2021_00000968,1.0,2,1427.0
101,1,1,1,Wang2021_00016695,1.0,1,1111.0
101,1,1,2,Wang2021_00020409,1.0,2,1077.0
101,1,1,2,Wang2021_00022033,1.0,2,1127.0
101,1,1,2,Wang2021_00025561,1.0,2,1215.0
101,1,1,2,Wang2021_00021355,1.0,2,1162.0
101,1,1,2,Wang2021_add_00001802,1.0,2,1281.0
101,1,1,1,Wang2021_00001867,1.0,1,1108.0
101,1,1,1,Wang2021_00005829,1.0,1,1359.0
101,1,1,2,Wang2021_00007182,1.0,2,1188.0
101,1,1,1,Wang2021_00008985,1.0,1,1125.0
101,1,1,1,Wang2021_00014630,1.0,1,1316.0
101,1,1,1,Wang2021_add_00002291,0.0,2,1643.0
101,1,1,2,Wang2021_add_00003030,1.0,2,1198.0
101,1,1,2,Wang2021_00009687,1.0,2,1135.0
101,1,1,2,Wang2021_00015479,1.0,2,1110.0
101,1,1,1,Wang2021_00010147,0.0,2,1306.0
101,1,1,2,Wang2021_00025778,1.0,2,1078.0
101,1,1,2,Wang2021_00023079,1.0,2,1117.0
101,1,1,2,Wang2021_00024203,1.0,2,1253.0
101,1,1,1,Wang2021_00013322,0.0,2,1307.0
101,1,1,1,Wang2021_00009093,1.0,1,1391.0
101,1,1,1,Wang2021_00018432,1.0,1,1888.0
101,1,1,1,Wang2021_00007918,0.0,2,1453.0
